,name,latitude,longitude,category,geometry
0,BeastyFeast,40.740583,-74.003878,basketball-court,"{'type': 'Point', 'coordinates': [40.740583, -74.003878]}"
1,The Salty Paw,40.707577,-74.001743,basketball-court,"{'type': 'Point', 'coordinates': [40.707577, -74.001743]}"
2,Biscuits & Bath,40.736371,-73.996113,basketball-court,"{'type': 'Point', 'coordinates': [40.736371, -73.996113]}"
3,Eva's Play Pups,40.722154,-73.959235,basketball-court,"{'type': 'Point', 'coordinates': [40.722154, -73.959235]}"
4,Dog Room Club,40.785382,-73.951538,basketball-court,"{'type': 'Point', 'coordinates': [40.785382, -73.951538]}"
5,Walter's Pet Styles,40.745053,-73.978287,basketball-court,"{'type': 'Point', 'coordinates': [40.745053, -73.978287]}"
6,Club Barks,40.714914,-74.043018,basketball-court,"{'type': 'Point', 'coordinates': [40.714914, -74.043018]}"
7,Wooftown,40.733568,-74.00395,basketball-court,"{'type': 'Point', 'coordinates': [40.733568, -74.00395]}"
8,Camp Canine,40.777866,-73.97817,basketball-court,"{'type': 'Point', 'coordinates': [40.777866, -73.97817]}"
9,Monster Mutt,40.685845,-73.991899,basketball-court,"{'type': 'Point', 'coordinates': [40.685845, -73.991899]}"
10,The Barker Lounge,40.658462,-74.285956,basketball-court,"{'type': 'Point', 'coordinates': [40.658462, -74.285956]}"
11,The Pawlour,40.659498,-73.991431,basketball-court,"{'type': 'Point', 'coordinates': [40.659498, -73.991431]}"
12,Paterson Bird Store,40.894968,-74.22577,basketball-court,"{'type': 'Point', 'coordinates': [40.894968, -74.22577]}"
13,Pet Supplies Plus,40.844761,-74.106314,basketball-court,"{'type': 'Point', 'coordinates': [40.844761, -74.106314]}"
14,Harlem Doggie Day Spa,40.825078,-73.943706,basketball-court,"{'type': 'Point', 'coordinates': [40.825078, -73.943706]}"
15,Pet Supplies Plus,40.721874,-74.333301,basketball-court,"{'type': 'Point', 'coordinates': [40.721874, -74.333301]}"
16,Biscuits & Bath,40.718324,-74.009108,basketball-court,"{'type': 'Point', 'coordinates': [40.718324, -74.009108]}"
17,Beasty Feast,40.734146,-74.006505,basketball-court,"{'type': 'Point', 'coordinates': [40.734146, -74.006505]}"
18,Dogma,40.730158,-74.004382,basketball-court,"{'type': 'Point', 'coordinates': [40.730158, -74.004382]}"
