,name,latitude,longitude,category
0,BeastyFeast,40.740583,-74.003878,basketball-court
1,The Salty Paw,40.707577,-74.001743,basketball-court
2,Biscuits & Bath,40.736371,-73.996113,basketball-court
3,Eva's Play Pups,40.722154,-73.959235,basketball-court
4,Dog Room Club,40.785382,-73.951538,basketball-court
5,Walter's Pet Styles,40.745053,-73.978287,basketball-court
6,Club Barks,40.714914,-74.043018,basketball-court
7,Wooftown,40.733568,-74.00395,basketball-court
8,Camp Canine,40.777866,-73.97817,basketball-court
9,Monster Mutt,40.685845,-73.991899,basketball-court
10,The Barker Lounge,40.658462,-74.285956,basketball-court
11,The Pawlour,40.659498,-73.991431,basketball-court
12,Paterson Bird Store,40.894968,-74.22577,basketball-court
13,Pet Supplies Plus,40.844761,-74.106314,basketball-court
14,Harlem Doggie Day Spa,40.825078,-73.943706,basketball-court
15,Pet Supplies Plus,40.721874,-74.333301,basketball-court
16,Biscuits & Bath,40.718324,-74.009108,basketball-court
17,Beasty Feast,40.734146,-74.006505,basketball-court
18,Dogma,40.730158,-74.004382,basketball-court
19,Puppy Loft,40.746792,-73.995781,basketball-court
20,Le Doggie Cool,40.719296,-73.960511,basketball-court
21,Kiki's Pet Spa & Boutique,40.689684,-73.969541,basketball-court
22,Gretch Pet Spa,40.708253,-73.956734,basketball-court
23,Lucy's Lucky Dogs,40.708559,-73.943262,basketball-court
24,Happy Dogs Long Island City,40.742949,-73.956195,basketball-court
25,Groomingdales,40.774584,-73.951647,basketball-court
26,D Is For Doggy,40.788612,-73.974,basketball-court
27,The Diamond Collar,40.622329,-74.004913,basketball-court
28,NY Dog Daycare,40.793186,-73.940254,basketball-court
29,The Bark Shoppe,40.802581,-73.952331,basketball-court
30,Shampooch,40.608468,-73.973838,basketball-court
31,Tommy's Pet Salon,40.824718,-73.988619,basketball-court
32,Pimp My Pooch,40.600898,-73.978942,basketball-court
33,My Best Friend Too,40.727083,-73.856186,basketball-court
34,Lisa's Pet Styles,40.822084,-73.943852,basketball-court
35,Bully Zone Pet Supplies,40.757345,-74.167111,basketball-court
36,Noelles Grooming Salon Noelle's Grooming,40.814579,-74.166617,basketball-court
37,NY Puppy Club,40.758077,-73.789746,basketball-court
38,Liberty Pet Grooming,40.693407,-74.23636,basketball-court
39,Bow Wow Wow Pet Groomers,40.596338,-74.182577,basketball-court
40,Hounds Town Bergen,40.888332,-74.080579,basketball-court
41,Modern Pet,40.778515,-73.777397,basketball-court
42,Pups At Play Montclair,40.815671,-74.209743,basketball-court
43,Preferred Pet Care,40.716139,-74.263131,basketball-court
44,Paramus Puppy Spa,40.921496,-74.06805,basketball-court
45,Charming Pet Grooming,40.711234,-74.310278,basketball-court
46,Once Upon A Tail,40.792368,-74.313541,basketball-court
47,VIPuppy Spa,40.721543,-74.335338,basketball-court
48,Cheekydog Doggy Daycare,40.70393,-73.987068,basketball-court
49,Downtown Woodys Grooming Salon,40.728285,-74.049691,basketball-court
0,Stuyvesant Town Basketball Courts,40.732345,-73.979407,basketball-court
1,Rucker Park Basketball Courts,40.829736,-73.936358,basketball-court
2,West 4th Street Courts,40.731228,-74.000757,basketball-court
3,Hudson River Park Basketball Court,40.718869,-74.012884,basketball-court
4,Dyckman Basketball Court,40.862664,-73.920891,basketball-court
5,Basketball Courts,40.725705,-74.011409,basketball-court
6,Jordan Terminal 23,40.749365,-73.990423,basketball-court
7,Marvin's Court,40.713892,-74.009456,basketball-court
8,Sugar NYC,40.709285,-74.006349,basketball-court
9,45 Wall Basketball Court,40.706223,-74.00985,basketball-court
10,15 William Basketball Court,40.705347,-74.010339,basketball-court
11,Lehman High School Gym,40.70576,-74.014981,basketball-court
12,Masaryk Basketball,40.717374,-73.980524,basketball-court
13,BTSH Hockey League,40.724199,-73.981446,basketball-court
14,Zogsports- Stuyvesant Town Bball Court,40.731429,-73.981379,basketball-court
15,Playground 9- Basketball Court/Sprinklers,40.732173,-73.979793,basketball-court
16,William Sheridan Courts,40.715371,-73.964778,basketball-court
17,Church Square Park Basketball Courts,40.741938,-74.031314,basketball-court
18,Basketball Gym At The Dylan,40.746532,-73.985464,basketball-court
19,McCarren Park Basketball Courts,40.71699,-73.956722,basketball-court
20,Madison Club,40.750471,-73.993437,basketball-court
21,The Post,40.725252,-73.954334,basketball-court
22,Robert Moses Basketball Courts,40.748117,-73.968711,basketball-court
23,UN Basketball Courts,40.748064,-73.968665,basketball-court
