,name,latitude,longitude,category
0,Pet Food Express,37.78757,-122.446339,basketball-court
1,Pawtrero Hill BathHouse & Feed,37.78382,-122.389322,basketball-court
2,Wag Hotels San Francisco,37.768475,-122.414103,basketball-court
3,Wags Pet Wash & Boutique,37.793742,-122.421187,basketball-court
4,The Dog Barber,37.770428,-122.424897,basketball-court
5,Healthy Spot,37.772602,-122.391695,basketball-court
6,Wag Hotels Oakland,37.793147,-122.26523,basketball-court
7,Animal House,37.770924,-122.430374,basketball-court
8,The Pawington,37.641349,-122.40382,basketball-court
9,Groom,37.782831,-122.469349,basketball-court
10,Bernie's Grooming,37.766871,-122.412862,basketball-court
11,SF Puppy Love,37.779676,-122.401321,basketball-court
12,Russian Hill Dog Grooming Express,37.787221,-122.432987,basketball-court
13,Bubbles & Beans Laundromat,37.751867,-122.422367,basketball-court
14,Russian Hill Dog Grooming,37.798507,-122.419103,basketball-court
15,The Grateful Dog - Sf,37.800338,-122.43061,basketball-court
16,Kosita's Pet Grooming,37.73929,-122.417612,basketball-court
17,Fog City Dogs,37.738534,-122.403523,basketball-court
18,Top Dog Boutique & Grooming,37.780892,-122.473748,basketball-court
19,Ocean Paws by Expert Pet,37.724463,-122.459947,basketball-court
20,SF Dog Parlour,37.71117,-122.404061,basketball-court
21,Under One Woof,37.776584,-122.276901,basketball-court
22,Broadway Grooming Clinic,37.803034,-122.276276,basketball-court
23,All About the Dogue Salon & Spa,37.829573,-122.279174,basketball-court
24,Bliss Bound Hound,37.811891,-122.251023,basketball-court
25,Spaw Fitness,37.84754,-122.26528,basketball-court
26,Pet Stylist Heather Tuthill,37.826975,-122.252035,basketball-court
27,Drummond's Pet Grooming,37.737712,-122.240807,basketball-court
28,Blank & Cables,37.775821,-122.227782,basketball-court
29,Metro Dog,37.900604,-122.309856,basketball-court
30,Dog's Best Friend & The Cat's Meow,37.896177,-122.300622,basketball-court
31,Doggie Styles,37.897963,-122.535392,basketball-court
32,Poodles A LA Pamela,37.807264,-122.222046,basketball-court
33,Le Chien Fortune,37.612537,-122.404631,basketball-court
34,Petvet Petfood,37.92044,-122.3169,basketball-court
35,Tamalpais Dog Grooming,37.925803,-122.522653,basketball-court
36,Pet Choice,37.788266,-122.19591,basketball-court
37,Doggy Dog Grooming,37.944164,-122.328986,basketball-court
38,Jennifer's Pet Grooming,37.944348,-122.329141,basketball-court
39,Bark Station Pet Salon,37.579487,-122.344155,basketball-court
40,Avenue Pet Salon,37.577254,-122.348605,basketball-court
41,Dog Time,37.712368,-122.148475,basketball-court
42,Waiterock Pet Ranch,37.891971,-122.140096,basketball-court
43,Tender Loving Care Pets Grooming,37.696743,-122.115954,basketball-court
44,Fluff Dog Grooming,37.722823,-122.154805,basketball-court
45,San Francisco Pet Grooming,37.771458,-122.430164,basketball-court
46,Moulin Pooch San Francisco,37.768888,-122.436058,basketball-court
47,Wags,37.793872,-122.421194,basketball-court
48,Blank & Cables,37.755047,-122.412379,basketball-court
49,Pawz Spa Grooming,37.800011,-122.433171,basketball-court
0,Berry Basketball Courts,37.772031,-122.397898,basketball-court
1,Soma Rec Center,37.778838,-122.406328,basketball-court
2,Dolores Park Basketball Courts,37.760956,-122.427849,basketball-court
3,Hamilton Basketball Courts,37.784569,-122.435625,basketball-court
4,NBA Nation,37.759168,-122.412335,basketball-court
5,Arterra Mission Bay,37.771896,-122.397532,basketball-court
6,Golden Gate Park Panhandle Basketball Courts,37.771955,-122.445915,basketball-court
7,Alice Marble Basketball Court,37.801395,-122.420205,basketball-court
8,Al Kerr Court,37.763735,-122.45811,basketball-court
9,Bernal Heights Recreation Center,37.738385,-122.416197,basketball-court
10,Bay City Basketball Headquarters,37.781086,-122.468411,basketball-court
11,Baker Beach half court,37.791371,-122.480608,basketball-court
12,Basketball Courts,37.711444,-122.418046,basketball-court
13,Park Merced Basketball Courts,37.723387,-122.483572,basketball-court
14,St Thomas More Catholic School Basketball Court,37.712567,-122.473403,basketball-court
15,Rakuten Performance Center,37.802312,-122.274154,basketball-court
16,North Oakland,37.846557,-122.282237,basketball-court
17,San Pablo Park Basketball Court,37.853744,-122.282223,basketball-court
18,Mosswood Park Basketball Court,37.824629,-122.261518,basketball-court
19,Steph Curry Court,37.737088,-122.240843,basketball-court
20,Gymnasium,37.637546,-122.490837,basketball-court
21,We Basketball,37.876034,-122.271593,basketball-court
22,People's Park Basketball Court,37.86511,-122.254446,basketball-court
23,UPBasketball - Unlimited Potential Basketball,37.598384,-122.382474,basketball-court
24,Tuesday Basketball,37.937728,-122.311873,basketball-court
25,Assumption Gym,37.721238,-122.135988,basketball-court
26,She Got Game Basketball Camp San Francisco,37.784264,-122.446,basketball-court
27,Panhandle Basketball Courts,37.768679,-122.453452,basketball-court
28,SF State Basketball Camp,37.721007,-122.477128,basketball-court
29,Soldier Town,37.79303,-122.26475,basketball-court
0,Ananda Fuara,37.77789,-122.416164,vegan-restaurant
1,Sweetgreen,37.787182,-122.398432,vegan-restaurant
2,Beloved Cafe,37.752329,-122.419313,vegan-restaurant
3,Papalote Mexican Grill,37.751949,-122.420867,vegan-restaurant
4,Ike's Sandwiches,37.78512,-122.419889,vegan-restaurant
5,New Eritrea Restaurant & Bar,37.763808,-122.467787,vegan-restaurant
6,Udupi Palace,37.756812,-122.420939,vegan-restaurant
7,Besharam,37.754174,-122.389537,vegan-restaurant
8,Boogaloos,37.755614,-122.420797,vegan-restaurant
9,Greens Restaurant,37.807002,-122.432295,vegan-restaurant
10,Gracias Madre,37.761621,-122.419145,vegan-restaurant
11,Kasa Indian Eatery,37.76085,-122.433074,vegan-restaurant
12,Enjoy Vegetarian Restaurant,37.795717,-122.405173,vegan-restaurant
13,The Thonglor,37.787265,-122.410194,vegan-restaurant
14,Judahlicious,37.76076,-122.503997,vegan-restaurant
15,Mixt,37.758243,-122.421024,vegan-restaurant
16,VeganBurg,37.770198,-122.44667,vegan-restaurant
17,Ike's Sandwiches,37.671651,-122.470325,vegan-restaurant
18,Sweetgreen,37.789656,-122.391744,vegan-restaurant
19,Amy's Drive Thru,37.924548,-122.513179,vegan-restaurant
20,Bowl'd Korean Rice Bar,37.891011,-122.288186,vegan-restaurant
21,Shangri-La Vegan,37.83128,-122.276904,vegan-restaurant
22,Golden Lotus,37.80341,-122.270414,vegan-restaurant
23,Mixt,37.785581,-122.404432,vegan-restaurant
24,Pepples Donut Farm,37.843599,-122.28422,vegan-restaurant
25,Cafe del Soul,37.973691,-122.532213,vegan-restaurant
26,Long Life Vegi House,37.871446,-122.276569,vegan-restaurant
27,Wholesome Bakery,37.772015,-122.437462,vegan-restaurant
28,Cafe Del Soul,37.881187,-122.525345,vegan-restaurant
29,Millennium,37.847406,-122.251847,vegan-restaurant
30,Mixt,37.812266,-122.266476,vegan-restaurant
31,Thai Idea Vegetarian Restaurant,37.783391,-122.418998,vegan-restaurant
32,Peasant Pies,37.763748,-122.469001,vegan-restaurant
33,Nourish Cafe,37.785273,-122.464765,vegan-restaurant
34,Baia,37.77817,-122.421915,vegan-restaurant
35,Mr Dewie's Cashew Creamery,37.890152,-122.298262,vegan-restaurant
36,Sweetgreen,37.56332,-122.325896,vegan-restaurant
37,Donut Farm,37.795336,-122.393463,vegan-restaurant
38,The Plant Cafe Organic,37.79175,-122.402358,vegan-restaurant
39,Core Kitchen,37.804159,-122.27261,vegan-restaurant
40,Nourish Cafe,37.790628,-122.41706,vegan-restaurant
41,Lemat,37.8503,-122.271211,vegan-restaurant
42,Big Lantern Restaurant,37.764959,-122.423356,vegan-restaurant
43,Grilly's Mill Valley,37.89492,-122.532985,vegan-restaurant
44,Lion Dance Cafe,37.806124,-122.267772,vegan-restaurant
45,Neecha Thai,37.811936,-122.247365,vegan-restaurant
46,Obelisco Restaurant,37.77554,-122.224106,vegan-restaurant
47,The Green Enchilada,37.650934,-122.491922,vegan-restaurant
48,Hippie Thai Street Food,37.770291,-122.445887,vegan-restaurant
49,Ike's Sandwiches,37.869681,-122.268353,vegan-restaurant
0,Public Works,37.768956,-122.419363,club
1,Oasis,37.771782,-122.414442,club
2,Jolene's Bar,37.765554,-122.413429,club
3,The Great Northern,37.767481,-122.40659,club
4,Madrone Art Bar,37.774201,-122.437404,club
5,Club Six,37.781406,-122.40949,club
6,F8 1192 Folsom,37.775283,-122.409986,club
7,The View,37.785207,-122.404625,club
8,Midnight Sun,37.760801,-122.434146,club
9,Bay View Boat Club,37.771064,-122.386157,club
10,Underground SF,37.772415,-122.429244,club
11,Cat Club,37.775367,-122.409851,club
12,Sláinte,37.79598,-122.276658,club
13,Sundance Saloon,37.739852,-122.404675,club
14,El Lopo,37.788978,-122.42069,club
15,Blondie's Bar,37.764119,-122.421944,club
16,Beaux,37.763609,-122.434169,club
17,Monarch,37.780935,-122.408387,club
18,The Plough And Stars,37.783261,-122.460346,club
19,DNA Lounge,37.771002,-122.412675,club
20,Pier 23 Cafe,37.803372,-122.400748,club
21,Monroe,37.79795,-122.405017,club
22,Danzhaus Aka The Gingerbread House,37.750074,-122.396176,club
23,Southside Spirit House,37.787118,-122.397568,club
24,Bootie San Francisco,37.771002,-122.412675,club
25,MeloMelo Kava Bar,37.87119,-122.277394,club
26,Hello Stranger,37.806928,-122.269253,club
27,The Wreck Room,37.791186,-122.417021,club
28,White Horse Inn,37.851754,-122.260498,club
29,Ruby Room,37.801507,-122.263559,club
30,Radio,37.803291,-122.271125,club
31,Halcyon,37.771424,-122.41399,club
32,The Mint Karaoke Lounge,37.770221,-122.425889,club
33,Lookout,37.764363,-122.433282,club
34,Latin American Club,37.75544,-122.4205,club
35,1015 Folsom,37.778128,-122.405784,club
36,Death Guild,37.771067,-122.412679,club
37,Make-Out Room,37.755294,-122.419417,club
38,Raven Bar,37.775665,-122.408936,club
39,Space 550,37.739852,-122.404675,club
40,The Swingin' Door,37.545093,-122.304619,club
41,Beauty Bar,37.760396,-122.41893,club
42,Comet Club,37.798191,-122.435859,club
43,Condor Club,37.798052,-122.406673,club
44,Slate Bar,37.765048,-122.417914,club
