city,company,latitude,longitude
San Francisco,Digg,37.764726,-122.394523
San Francisco,The Climate Corporation,37.782809,-122.394354
New York,Gilt Groupe,40.74727,-73.9800645
London,cScape,51.523676,-0.107843
London,ProofHQ,51.5320478,-0.011154
San Francisco,99designs,37.7955307,-122.4005983
London,Sososher,51.500152,-0.126236
New York,PixelCrayons,28.682042,77.087502
San Francisco,Cutcaster,37.79851,-122.457454
New York,New York Designs,40.743264,-73.923427
San Francisco,Carbonetworks,37.805289,-122.404448
San Francisco,Minted,37.797435,-122.403175
New York,StyleCard,40.738137,-74.0058
London,The Tin,51.52129,-0.10978
London,Squiz UK,51.521603,-0.083444
San Francisco,Ecolect,37.776769,-122.410111
San Francisco,Milobox,37.792979,-122.421242
San Francisco,Ecolect,37.776769,-122.410111
San Francisco,Milobox,37.792979,-122.421242
London,Box UK,51.5107737,-0.1392447
New York,Fabian Rossano Studio,40.740371,-74.004777
London,Which Web Design Company,51.5001524,-0.1262362
New York,Novalsys,40.7283696,-73.9923918
London,Make It Rain,51.4626,-0.139082
New York,Eastmedia,40.752409,-73.988676
New York,Rhxo Technology Group,40.762897,-73.974714
New York,MindSmack,40.758492,-73.989987
New York,Hirshorn Zuckerman Design Group,40.756054,-73.986951
London,Masterpiece,51.5219131,-0.0833747
London,Boring,51.5183725,-0.0740678
San Francisco,Bamboudesign,37.775087,-122.415199
London,Red Engineering Design,51.5234209,-0.1398614
New York,Recyclebank,40.7310476,-74.0078134
San Francisco,Five Prime Therapeutics,37.7676285,-122.393799
San Francisco,Sunrun,37.7871306,-122.4041075
London,Rapid Action Packaging,51.4698433,-0.2611303
New York,Stemline Therapeutics,40.7775647,-73.9459335
San Francisco,ACT Biotech,37.7871306,-122.4041075
New York,Covet Shop,40.72874,-73.989324
New York,Synesis IT,40.748873,-73.987106
New York,Ramp Up Tech,40.746514,-73.993035
San Francisco,Osprey Pharmaceuticals USA,37.775196,-122.419204
San Francisco,Siluria Technologies,37.4484914,-122.1802812
New York,Palyon Medical,40.756054,-73.986951
New York,CPower,40.756054,-73.986951
