,city,company,latitude,longitude,geometry
0,San Francisco,Digg,37.764726,-122.394523,"{'type': 'Point', 'coordinates': [37.764726, -122.394523]}"
8,San Francisco,The Climate Corporation,37.782809,-122.394354,"{'type': 'Point', 'coordinates': [37.782809, -122.394354]}"
10,New York,Gilt Groupe,40.74727,-73.9800645,"{'type': 'Point', 'coordinates': [40.74727, -73.9800645]}"
17,London,cScape,51.523676,-0.107843,"{'type': 'Point', 'coordinates': [51.523676, -0.107843]}"
19,London,ProofHQ,51.5320478,-0.011154,"{'type': 'Point', 'coordinates': [51.5320478, -0.011154]}"
20,San Francisco,99designs,37.7955307,-122.4005983,"{'type': 'Point', 'coordinates': [37.7955307, -122.4005983]}"
30,London,Sososher,51.500152,-0.126236,"{'type': 'Point', 'coordinates': [51.500152, -0.126236]}"
39,New York,PixelCrayons,28.682042,77.087502,"{'type': 'Point', 'coordinates': [28.682042, 77.087502]}"
44,San Francisco,Cutcaster,37.79851,-122.457454,"{'type': 'Point', 'coordinates': [37.79851, -122.457454]}"
46,New York,New York Designs,40.743264,-73.923427,"{'type': 'Point', 'coordinates': [40.743264, -73.923427]}"
133,San Francisco,Carbonetworks,37.805289,-122.404448,"{'type': 'Point', 'coordinates': [37.805289, -122.404448]}"
134,San Francisco,Minted,37.797435,-122.403175,"{'type': 'Point', 'coordinates': [37.797435, -122.403175]}"
138,New York,StyleCard,40.738137,-74.0058,"{'type': 'Point', 'coordinates': [40.738137, -74.0058]}"
153,London,The Tin,51.52129,-0.10978,"{'type': 'Point', 'coordinates': [51.52129, -0.10978]}"
157,London,Squiz UK,51.521603,-0.083444,"{'type': 'Point', 'coordinates': [51.521603, -0.083444]}"
170,San Francisco,Ecolect,37.776769,-122.410111,"{'type': 'Point', 'coordinates': [37.776769, -122.410111]}"
190,San Francisco,Milobox,37.792979,-122.421242,"{'type': 'Point', 'coordinates': [37.792979, -122.421242]}"
202,San Francisco,Ecolect,37.776769,-122.410111,"{'type': 'Point', 'coordinates': [37.776769, -122.410111]}"
222,San Francisco,Milobox,37.792979,-122.421242,"{'type': 'Point', 'coordinates': [37.792979, -122.421242]}"
267,London,Box UK,51.5107737,-0.1392447,"{'type': 'Point', 'coordinates': [51.5107737, -0.1392447]}"
276,New York,Fabian Rossano Studio,40.740371,-74.004777,"{'type': 'Point', 'coordinates': [40.740371, -74.004777]}"
332,London,Which Web Design Company,51.5001524,-0.1262362,"{'type': 'Point', 'coordinates': [51.5001524, -0.1262362]}"
354,New York,Novalsys,40.7283696,-73.9923918,"{'type': 'Point', 'coordinates': [40.7283696, -73.9923918]}"
405,London,Make It Rain,51.4626,-0.139082,"{'type': 'Point', 'coordinates': [51.4626, -0.139082]}"
412,New York,Eastmedia,40.752409,-73.988676,"{'type': 'Point', 'coordinates': [40.752409, -73.988676]}"
429,New York,Rhxo Technology Group,40.762897,-73.974714,"{'type': 'Point', 'coordinates': [40.762897, -73.974714]}"
475,New York,MindSmack,40.758492,-73.989987,"{'type': 'Point', 'coordinates': [40.758492, -73.989987]}"
498,New York,Hirshorn Zuckerman Design Group,40.756054,-73.986951,"{'type': 'Point', 'coordinates': [40.756054, -73.986951]}"
504,London,Masterpiece,51.5219131,-0.0833747,"{'type': 'Point', 'coordinates': [51.5219131, -0.0833747]}"
530,London,Boring,51.5183725,-0.0740678,"{'type': 'Point', 'coordinates': [51.5183725, -0.0740678]}"
607,San Francisco,Bamboudesign,37.775087,-122.415199,"{'type': 'Point', 'coordinates': [37.775087, -122.415199]}"
611,London,Red Engineering Design,51.5234209,-0.1398614,"{'type': 'Point', 'coordinates': [51.5234209, -0.1398614]}"
626,New York,Recyclebank,40.7310476,-74.0078134,"{'type': 'Point', 'coordinates': [40.7310476, -74.0078134]}"
679,San Francisco,Five Prime Therapeutics,37.7676285,-122.393799,"{'type': 'Point', 'coordinates': [37.7676285, -122.393799]}"
697,San Francisco,Sunrun,37.7871306,-122.4041075,"{'type': 'Point', 'coordinates': [37.7871306, -122.4041075]}"
700,London,Rapid Action Packaging,51.4698433,-0.2611303,"{'type': 'Point', 'coordinates': [51.4698433, -0.2611303]}"
720,New York,Stemline Therapeutics,40.7775647,-73.9459335,"{'type': 'Point', 'coordinates': [40.7775647, -73.9459335]}"
728,San Francisco,ACT Biotech,37.7871306,-122.4041075,"{'type': 'Point', 'coordinates': [37.7871306, -122.4041075]}"
738,New York,Covet Shop,40.72874,-73.989324,"{'type': 'Point', 'coordinates': [40.72874, -73.989324]}"
767,New York,Synesis IT,40.748873,-73.987106,"{'type': 'Point', 'coordinates': [40.748873, -73.987106]}"
776,New York,Ramp Up Tech,40.746514,-73.993035,"{'type': 'Point', 'coordinates': [40.746514, -73.993035]}"
829,San Francisco,Osprey Pharmaceuticals USA,37.775196,-122.419204,"{'type': 'Point', 'coordinates': [37.775196, -122.419204]}"
862,San Francisco,Siluria Technologies,37.4484914,-122.1802812,"{'type': 'Point', 'coordinates': [37.4484914, -122.1802812]}"
882,New York,Palyon Medical,40.756054,-73.986951,"{'type': 'Point', 'coordinates': [40.756054, -73.986951]}"
937,New York,CPower,40.756054,-73.986951,"{'type': 'Point', 'coordinates': [40.756054, -73.986951]}"
